FAC_PARTY_ID,SERVICE_TYPE_CD,NAME,ADDRESS_1,ADDRESS_2,CITY,POSTAL_CODE,LATITUDE,LONGITUDE,PHONE,WEBSITE,EMAIL,OP_WEEKDAY_YN,OP_WEEKEND_YN,OP_STAT_HOLIDAY_YN,OP_OVERNIGHT_YN,OP_EXT_WEEKDAY_BEFORE6AM_YN,OP_EXT_WEEKDAY_AFTER7PM_YN,SRVC_UNDER36_YN,SRVC_30MOS_5YRS_YN,SRVC_LICPRE_YN,SRVC_OOS_KINDER_YN,SRVC_OOS_GR1_AGE12_YN,LANG_CANTONESE_YN,LANG_PUNJABI_YN,LANG_MANDARIN_YN,LANG_FRENCH_YN,LANG_SPANISH_YN,LANG_OTHER_YN,PROVIDE_CD_MEALS,PROVIDE_CD_PICKUP,PRESCHOOL_MORNING_YN,PRESCHOOL_MIDDAY_YN,PRESCHOOL_AFTERNOON_YN,ABORIGINAL_PROGRAMMING_YN,ACCOMMODATE_SPECIAL_NEEDS,ECE_CERTIFICATION_YN,ELF_PROGRAMMING_YN,VACANCY_SRVC_UNDER36,VACANCY_SRVC_30MOS_5YRS,VACANCY_SRVC_LICPRE,VACANCY_SRVC_OOS_GR1_AGE12,VACANCY_LAST_UPDATE,HA_FAC_INSPEC_RPTS,IS_INCOMPLETE_IND,IS_CCFRI_AUTH,IS_DUPLICATE
13,Licensed Group,Shannon Day Care,290 - 1200 West  73Rd Ave,,Vancouver,V6P 6G5,49.203996,-123.133619,604-263-3421,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2024/03/16,https://inspections.vcha.ca/ChildCare/Table,N,N,N
14,Licensed Group,West Point Grey Under Three Day Care,1708 West 16Th Ave,,Vancouver,V6J 2M1,49.256848,-123.144396,604-568-9002,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2024/03/15,https://inspections.vcha.ca/ChildCare/Table,N,N,N
15,Licensed Group,Whistler Children's Centre,7146 Nesters Rd,,Whistler,V0N 1B7,50.12399,-122.960699,604-932-1119,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2024/03/01,https://inspections.vcha.ca/ChildCare/Table,N,N,N
16,Licensed Group,Castleview Child Care Centre,1075 Joan Cres,,Victoria,V8S 3L3,48.423331,-123.343216,250-595-5355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,N,N
17,Licensed Group,Camosun College Child Care Services - Interurban,4461 Interurban Road,,Victoria,V9E 2C1,48.491358,-123.416661,250-370-4880,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2024/03/07,https://www.healthspace.ca/clients/viha/viha_website.nsf/CCFL-Main?OpenView,N,N,N
18,Licensed Group,Camosun College Child Care Services - Lansdowne,3211 Richmond Road,,Victoria,V8P 4P2,48.4484,-123.32544,250-370-4880,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2024/03/07,https://www.healthspace.ca/clients/viha/viha_website.nsf/CCFL-Main?OpenView,N,N,N
19,Licensed Group,ywca Crabtree Corner Early Learning And Care Center (<36Mos),533 E. Hastings St,,Vancouver,V6A 1P9,49.28151,-123.092378,604-216-1655,,,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Included in fee,Not offered,N,N,N,N,N,N,N,N,N,N,N,2024/03/04,https://inspections.vcha.ca/ChildCare/Table,N,Y,N
20,Licensed Group,6Th Avenue Childcare,520  6Th Ave,,Kamloops,V2C 3R7,50.672934,-120.327462,250-828-6675,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2024/02/27,https://hedgehogportal.interiorhealth.ca/ChildCare/Map,N,Y,N
21,Licensed Group,Gingerbread House,559 Battle Street,,Kamloops,V2C 2M1,50.672972,-120.327843,250-828-6675,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2024/02/27,https://hedgehogportal.interiorhealth.ca/ChildCare/Map,N,Y,N
22,Licensed Group,Summit Childcare,1565 Summit Dr,,Kamloops,V2E 1E9,50.657927,-120.338601,250-828-6675,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,Y,N,Y,2024/02/27,https://hedgehogportal.interiorhealth.ca/ChildCare/Map,N,Y,N
23,Licensed Group,Cedar Grove Childcare Centre,10330 - 144Th Street,,Surrey,V3T 4V3,49.190474,-122.822824,604-584-2311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,N,N
24,Licensed Group,St. Barnabas Daycare Society,1005 Napanee Street,,New Westminster,V3M 5Y2,49.207808,-122.924767,604-526-6956,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,Y,N,N,2024/03/12,http://www.healthspace.ca/fha/childcare,N,N,N
25,Licensed Group,St. Matthews Day Care Society,103 - 7355 Canada Way,,Burnaby,V3N 4Z6,49.223393,-122.94086,604-527-1031,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2024/02/28,http://www.healthspace.ca/fha/childcare,N,N,N
26,Licensed Group,Springridge Early Childhood Centre,1222 Gladstone Ave,,Victoria,V8T 1G6,48.430895,-123.34878,250-384-2132,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2024/02/16,https://www.healthspace.ca/clients/viha/viha_website.nsf/CCFL-Main?OpenView,N,Y,N
27,Licensed Group,Northside ymca Child Care,45465 Bernard Ave,,Chilliwack,V2P 1H6,49.164731,-121.965953,604-792-8010,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,Y,N,N,2024/02/14,http://www.healthspace.ca/fha/childcare,N,Y,N
28,Licensed Group,Little Mountain ymca Kids Club,9900 Carleton St,,Chilliwack,V2P 6E5,49.181666,-121.929289,604-819-3338,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2024/02/14,http://www.healthspace.ca/fha/childcare,N,Y,N
29,Licensed Group,Discovery World Daycare,870 Francis Ave,,Kelowna,V1Y 5G5,49.870191,-119.483527,250-868-7395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,N,N
30,Licensed Group,Bright Angels Children's Centre Ii,21176 Yeoman's Cres,,Langley,V1M 2P7,49.177182,-122.637094,604-599-1943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,N,N
31,Licensed Group,Creekview Tiny Tots (18Mths - 3Yrs Gdc),1483 Lameys Mill Road,,Vancouver,V6H 3Y7,49.269321,-123.137045,604-742-0212,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2024/03/15,https://inspections.vcha.ca/ChildCare/Table,N,N,N
32,Licensed Group,Delbrook Wonderland Academy,#120 - 3721 Delbrook Ave,,North Vancouver,V7N 3Z4,49.343297,-123.086546,778-340-9595,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,Y,Y,2024/03/04,https://inspections.vcha.ca/ChildCare/Table,N,N,N
33,Licensed Group,Kids Club,2855 Acadia Road,,Vancouver,V6T 1S1,49.261635,-123.234441,604-822-9386,,,Y,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,Not offered,Include in fee,N,N,N,N,Y,Y,Y,N,N,N,N,2024/02/14,https://inspections.vcha.ca/ChildCare/Table,N,Y,N
34,Licensed Group,Swamp,101 - 2730 Acadia Road,,Vancouver,V6T 1S1,49.263137,-123.235551,604-822-9386,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2024/02/14,https://inspections.vcha.ca/ChildCare/Table,N,Y,N
35,Licensed Group,Kids Club Child Care,3300 - 37 Avenue,,Vernon,V1T 2Y5,50.268798,-119.273837,250-762-3989,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2024/02/07,https://hedgehogportal.interiorhealth.ca/ChildCare/Map,N,Y,N
36,Licensed Group,Boys & Girls Club Of Kamloops - L S Neighbourhood Club -,492 mcgill Rd,,Kamloops,V2C 1M3,50.670089,-120.352419,250-554-5437,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2024/03/07,https://hedgehogportal.interiorhealth.ca/ChildCare/Map,N,Y,N
37,Licensed Group,First Steps Childcare Centre,480 Kenora Rd,,Kamloops,V2B 3X6,50.697406,-120.369904,250-554-5437,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2024/03/07,https://hedgehogportal.interiorhealth.ca/ChildCare/Map,N,Y,N
38,Licensed Group,Brocklehurst Neighbourhood Club,950 Southhill St,,Kamloops,V2B 5M2,50.704451,-120.398012,250-554-5437,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2024/03/07,https://hedgehogportal.interiorhealth.ca/ChildCare/Map,N,Y,N
39,Licensed Group,Richmond Colts Day Care,7171 Minoru Blvd.,,Richmond,V6Y 1Z3,49.161272,-123.14196,604-726-0890,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,Y,N,N,N,2024/03/07,https://inspections.vcha.ca/ChildCare/Table,N,Y,N
40,Licensed Group,Panorama Out Of School Care And Preschool,2151 Lannon Way,,Sidney,V8L 3Z1,48.639274,-123.410153,250-655-2172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,N,N
41,Licensed Group,Halfmoon Bay Child Care Centre,8090 Northwood Rd,,Halfmoon Bay,V7Z 1A8,49.481901,-123.885301,604-885-3739,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2024/03/15,https://inspections.vcha.ca/ChildCare/Table,N,N,N
42,Licensed Group,Emmanuel Baptist Church Child Care,2121 Cedar Hill Cross Road,,Victoria,V8P 2R6,48.457733,-123.314148,250-598-0573,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,Y,N,N,2024/02/29,https://www.healthspace.ca/clients/viha/viha_website.nsf/CCFL-Main?OpenView,N,N,N
43,Licensed Group,Alderson ymca Kids Club,825 Gauthier Ave,,Coquitlam,V3K 7C4,49.239211,-122.874935,604-365-1867,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,Y,2024/02/14,http://www.healthspace.ca/fha/childcare,N,Y,N
44,Licensed Group,Brighouse ymca Kids Club,6800 Azure Rd,,Richmond,V7C 2S8,49.166987,-123.150441,604-306-2630,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2024/02/14,https://inspections.vcha.ca/ChildCare/Table,N,Y,N
45,Licensed Group,Byng ymca Kids Club,3711 Georgia St,,Richmond,V7E 6M3,49.130864,-123.183474,604-668-6155,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2024/02/14,https://inspections.vcha.ca/ChildCare/Table,N,Y,N
46,Licensed Group,Cameron ymca Kids Club,9540 Erickson Dr,,Burnaby,V3J 1M9,49.251635,-122.899696,604-421-6560,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2024/02/14,http://www.healthspace.ca/fha/childcare,N,Y,N
47,Licensed Group,Capitol Hill ymca Kids Club,350 Holdom Ave,,Burnaby,V5B 3V1,49.281465,-122.979536,604-294-3013,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2024/02/14,http://www.healthspace.ca/fha/childcare,N,Y,N
48,Licensed Group,Manoah ymca Kids Club,10111 Fourth Ave,,Richmond,V7E 1V5,49.139454,-123.188603,604-241-1116,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2024/02/14,https://inspections.vcha.ca/ChildCare/Table,N,Y,N
49,Licensed Group,Mount Pleasant ymca Kids Club,2300 Guelph St,,Vancouver,V5T 3P1,49.26404,-123.094042,604-872-2344,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2024/02/14,https://inspections.vcha.ca/ChildCare/Table,N,Y,N
50,Licensed Group,Stoney Creek ymca Kids Club,2740 Beaverbrook Cres,,Burnaby,V3J 7B6,49.259404,-122.902055,604-421-0555,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,Y,2024/02/14,http://www.healthspace.ca/fha/childcare,N,Y,N
51,Licensed Group,Tennyson ymca Kids Club,2650 Maple Street,,Vancouver,V6J 2B2,49.262349,-123.149372,604-218-4806,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2024/02/14,https://inspections.vcha.ca/ChildCare/Table,N,Y,N
52,Licensed Group,Van Horne ymca Kids Club,5855 Ontario St,,Vancouver,V5W 2L8,49.231801,-123.106946,604-325-0077,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2024/02/14,https://inspections.vcha.ca/ChildCare/Table,N,Y,N
53,Licensed Group,Hastings ymca Kids Club,2625 Franklin St,,Vancouver,V5K 3W7,49.282524,-123.050642,604-254-3199,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2024/02/14,https://inspections.vcha.ca/ChildCare/Table,N,Y,N
54,Licensed Group,Jules Quesnel ymca Kids Club,3050 Crown,,Vancouver,V6R 4K9,49.25902,-123.192581,604-222-0114,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2024/02/14,https://inspections.vcha.ca/ChildCare/Table,N,Y,N
55,Licensed Group,Kerrisdale ymca Kids Club,5555 Carnarvon St,,Vancouver,V6N 1J2,49.235716,-123.174493,604-261-9611,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2024/02/14,https://inspections.vcha.ca/ChildCare/Table,N,Y,N
56,Licensed Group,Creative Childcare Centre,1891 Wellington Cres,,Richmond,V7B 1G6,49.191375,-123.149718,604-512-1318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,N,N
57,Licensed Group,Mackenzie ymca Kids Club,960 39Th Ave E,,Vancouver,V5W 1K8,49.234683,-123.086308,604-321-4802,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2024/02/14,https://inspections.vcha.ca/ChildCare/Table,N,Y,N
58,Licensed Group,Lord Roberts ymca Kids Club,1100 Bidwell St,,Vancouver,V6G 2K4,49.286765,-123.137923,778-960-6491,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2024/02/14,https://inspections.vcha.ca/ChildCare/Table,N,Y,N
59,Licensed Group,Anderson ymca Kids Club,9460 Alberta Road,,Richmond,V6Y 1T6,49.165695,-123.119598,604-214-6629,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,Y,2024/02/14,https://inspections.vcha.ca/ChildCare/Table,N,Y,N
60,Licensed Group,Pooh Corner Daycare Centre Ii,975 Lagoon Drive,,Vancouver,V6G 2S1,49.293585,-123.139305,604-684-9734,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2024/03/05,https://inspections.vcha.ca/ChildCare/Table,N,N,N
61,Licensed Group,Malaspina Child Care Centre,900 Fifth St,,Nanaimo,V9R 5S5,49.15716,-123.966663,250-753-6931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,N,N
62,Licensed Group,Malaspina Preschool,205 Howard Ave,,Nanaimo,V9R 3R3,49.165609,-123.956672,250-753-6931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,N,N
63,Licensed Group,Sunshine Children's Centre - Trail,1583 - 5Th Avenue,,Trail,V1R 1T9,49.099313,-117.69851,250-368-3166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,N,N
64,Licensed Group,Beaver Valley Afterschool Care,1867 Columbia Gardens Rd,,Fruitvale,V0G 1L0,49.111973,-117.545728,250-367-7887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,N,N
65,Licensed Group,Brock Junction After School Program,4860 Main St,,Vancouver,V5V 3R8,49.241543,-123.10038,604-323-8370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,N,N
66,Licensed Group,Calypso Montessori School Bc Ltd.,2474 Prince Edward St,,Vancouver,V5T 3M8,49.262773,-123.095934,604-266-4416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,N,N
67,Licensed Group,South Park Family Out Of School Care,508 Douglas St,,Victoria,V8V 2P7,48.417712,-123.366291,250-361-5978,,,Y,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,Not offered,Not offered,N,N,N,N,N,N,N,N,N,N,N,2024/03/01,https://www.healthspace.ca/clients/viha/viha_website.nsf/CCFL-Main?OpenView,N,N,N
68,Licensed Group,Quadra Child Care Centre,4315 W 6Th Avenue,,Vancouver,V6R 3Z4,49.26724,-123.20441,604-224-5911,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2024/03/01,https://inspections.vcha.ca/ChildCare/Table,N,N,N
69,Licensed Group,Campus Kids Daycare,11401 - 8Th  Street,,Dawson Creek,V1G 4G2,55.746853,-120.229661,250-784-7523,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2024/03/14,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-Frameset,N,Y,N
70,Licensed Group,Sunflower Preschool,2260 Philip Avenue,,North Vancouver,V7P 2W8,49.330395,-123.112745,604-985-9622,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,Y,N,2024/03/04,https://inspections.vcha.ca/ChildCare/Table,N,N,N
71,Licensed Group,Spare Time Fun Centre And Kinderclub,8370 Cartier St,,Vancouver,V6P 4T8,49.210237,-123.136351,604-261-6612,,,Y,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,Included in fee,Not offered,N,N,N,N,Y,Y,N,N,Y,N,Y,2023/12/20,https://inspections.vcha.ca/ChildCare/Table,N,N,N
72,Licensed Group,St. Christopher's Montessori School,2619 Currie Road,,Victoria,V8S 3B9,48.422475,-123.304491,250-595-3213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,N,N
73,Licensed Group,Shaughnessy Point Grey Out Of School Society (Spg),5300 Maple St,,Vancouver,V6M 3T6,49.237313,-123.151949,604-261-0515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,N,N
74,Licensed Group,Pj Kids Club,1150  -  22Nd Street,,West Vancouver,V7V 4C4,49.334576,-123.169566,604-926-5972,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2024/03/11,https://inspections.vcha.ca/ChildCare/Table,N,N,N
75,Licensed Group,Little Vine Learning Centre,1005 Kensington Avenue,,Burnaby,V5B 4B8,49.274766,-122.970615,604-566-5887,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2024/02/29,http://www.healthspace.ca/fha/childcare,N,N,N
76,Licensed Group,Kiddies Korner Daycare,2250 Park Dr,,Kamloops,V2C 4P6,50.67779,-120.257728,250-828-0877,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,Y,N,N,2024/03/11,https://hedgehogportal.interiorhealth.ca/ChildCare/Map,N,Y,N
77,Licensed Group,Douglas Park Preschool,801 West 22Nd Avenue,,Vancouver,V5Z 1Z8,49.252861,-123.122705,604-257-8134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,N,N
78,Licensed Group,Hastings Community Centre Preschool,3096 East Hastings Street,,Vancouver,V5K 2A3,49.281103,-123.038895,604-718-6232,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,Y,N,2024/03/06,https://inspections.vcha.ca/ChildCare/Table,N,N,N
79,Licensed Group,Kiwassa-Longhouse Out Of School Care Program,2595 Franklin St,,Vancouver,V5K 1Z5,49.282319,-123.052392,604-254-5401,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2023/12/20,https://inspections.vcha.ca/ChildCare/Table,N,Y,N
80,Licensed Group,Brentwood Park Plus,1455 Delta Ave Room B,,Burnaby,V5B 3G4,49.271456,-122.993524,604-292-1290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,N,N
81,Licensed Group,Abc University Daycare,4595 West 8Th Avenue,,Vancouver,V6R 2A4,49.265649,-123.211981,604-228-5885,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,Y,N,N,2024/03/01,https://inspections.vcha.ca/ChildCare/Table,N,N,N
